(Parent) ASIN,(Child) ASIN,Title,Sessions - Mobile App,Sessions - Browser,Sessions - Total,Session Percentage - Mobile App,Session Percentage - Browser,Session Percentage - Total,Page Views - Mobile App,Page Views - Browser,Page Views - Total,Page Views Percentage - Mobile App,Page Views Percentage - Browser,Page Views Percentage - Total,Featured Offer Percentage,Units Ordered,Unit Session Percentage,Ordered Product Sales,Total Order Items,Date
B09M3T51GH,B09M3T51GH,Pure Tree Certified Organic Jeera Seeds | 250 Gm| Cumin Seeds | Sabut Jeera | Jeera Whole Spices | Jeelakarra | Zeera | Organic Spices | Boost Immunity | For Curries & Veg,16,2,18,0.88%,0.37%,0.76%,20,2,22,0.73%,0.17%,0.57%,100.00%,11,61.11%,"₹3,080.00",10,11-05-2025
B09M3QD9PJ,B09M3QD9PJ,Pure Tree Certified Organic Coriander Seeds | 250 g | Dhaniya | Coriander Whole | Khada Dhania | Sabut Daniyalu Seeds with Aroma & Flavour,26,6,32,1.43%,1.12%,1.36%,43,8,51,1.57%,0.70%,1.31%,100.00%,18,56.25%,"₹2,592.00",9,11-05-2025
B09M3RJTWD,B09M3RJTWD,"Pure Tree Certified Organic Fennel Seeds | 250 gm | Saunf, Variyali | Perumjeerakam Whole Spices Sombu Whole | Fennel seeds Saunf | Organic Saunf Rich Flavour Sombu",40,3,43,2.20%,0.56%,1.82%,60,4,64,2.19%,0.35%,1.65%,100.00%,10,23.26%,"₹2,540.00",9,11-05-2025
B09M3PB88S,B09M3PB88S,Pure Tree Certified Organic Mustard Seeds Big | 250 Gm | Black Mustard Rai Seeds Big | Sasive Seeds Whole Kali Rai Dana | Sarson Dana Indian Spice Gluten Free,21,8,29,1.15%,1.49%,1.23%,37,9,46,1.35%,0.79%,1.18%,100.00%,14,48.28%,"₹1,764.00",7,11-05-2025
B0BMX6S7G8,B0BMX6S7G8,Pure Tree Certified Organic Tej Patta Leaves | 50 g | Bay Leaf | Whole Spices | Aromatic & Flavourful Biryani Leaf | Tejpatta Spice,9,4,13,0.49%,0.74%,0.55%,14,5,19,0.51%,0.44%,0.49%,100.00%,7,53.85%,"₹1,162.00",7,11-05-2025
B09WN1DH52,B09WN1DH52,Pure Tree Certified Organic Dalchini Powder | 60 Gm | Glass Jar | Organic Cinnamon Powder | Dal Chini Powder Indian Spices Aroma & Flavour | Gluten Free Cineman Dalchini,9,2,11,0.49%,0.37%,0.47%,11,2,13,0.40%,0.17%,0.33%,100.00%,6,54.55%,"₹1,038.00",6,11-05-2025
B004GEWJVE,B004GEWJVE,Nordic Naturals Ultimate Omega 3 Fish Oil In Fish Gelatin | 1280Mg EPA & DHA Supplement | Omega 3 Supplement For Pescatarian & Restricted Diets | 60 Fish Oil Lemon Flavour Softgel,33,7,40,1.81%,1.30%,1.70%,48,13,61,1.75%,1.14%,1.57%,98.21%,4,10.00%,"₹17,680.00",4,11-05-2025
B09M3Q32GM,B09M3Q32GM,Pure Tree Certified Organic Methi Dana | 250 g | Organic Fenugreek Seeds | Methi Seeds Whole Spices | Menthulu Seeds | Vendayam | Rich in Aroma and Flavour,11,3,14,0.60%,0.56%,0.59%,15,4,19,0.55%,0.35%,0.49%,100.00%,4,28.57%,₹700.00,4,11-05-2025
B0014FUQ1S,B0014FUQ1S,Nordic Naturals Ultimate Omega - Minis 1120 Mg Omega 3 Fish Oil Supplement EPA & DHA | Optimum Wellness & Heart Health | Strawberry Fish Oil For Men And Women | 60 Mini Softgels,23,10,33,1.26%,1.86%,1.40%,38,18,56,1.39%,1.57%,1.44%,68.63%,3,9.09%,"₹15,177.00",3,11-05-2025
B002CQU4ZG,B002CQU4ZG,"Nordic Naturals Omega 3 Fish Oil EPA And DHA | 690Mg Omega 3 Fish Oil Support Brain, Heart Health & Immunity | Omega Fish Oil For Men & Women Lemon Fish Oil Flavour 60 Softgels",50,25,75,2.75%,4.65%,3.18%,75,38,113,2.74%,3.32%,2.91%,98.99%,3,4.00%,"₹8,841.64",3,11-05-2025
B09M3SYM74,B09M3SYM74,Pure Tree Certified Organic Carom Seeds | 250 g | Ajwain Seeds | Omam | Vamu | Ajowan | Ayamodakam Seeds Rich In Antioxidants,13,3,16,0.71%,0.56%,0.68%,17,3,20,0.62%,0.26%,0.51%,100.00%,3,18.75%,₹777.00,3,11-05-2025
B09WMZ133G,B09WMZ133G,Pure Tree Certified Organic Carom Seeds | 150 g | Glass Jar | Ajwain Seeds | Omam | Vamu | Ajowan | Ayamodakam Seeds Rich In Antioxidants,9,0,9,0.49%,0.00%,0.38%,13,0,13,0.47%,0.00%,0.33%,100.00%,6,66.67%,"₹1,440.00",3,11-05-2025
B09WN2N79P,B09WN2N79P,Pure Tree Certified Organic Laung | 100 Gm | Glass Jar | Organic Cloves Whole | Lavang Whole Spices | Aromatic & Flavorful Clove Seeds Khada Masala | Dried Cloves | Lavangam,6,2,8,0.33%,0.37%,0.34%,7,3,10,0.26%,0.26%,0.26%,100.00%,3,37.50%,"₹1,260.00",3,11-05-2025
B09Y23F68L,B09Y23F68L,Pure Tree Certified Organic Moong Split without Skin | 1800 g | Yellow Moong Dal Split | Dhuli Moong Dal | Organic Moong Dal Yellow | Moong Dal Dhuli Plant Based High Protein,7,2,9,0.38%,0.37%,0.38%,12,4,16,0.44%,0.35%,0.41%,93.33%,4,44.44%,"₹1,710.00",3,11-05-2025
B0C1G4JRPT,B0C1G4JRPT,Pure Tree Certified Organic Kashmiri Lal Mirch | 200 Gram | Red Chilli Whole | Sabut Lal Mirch | Kashmiri Chilli Lal Mirch Whole Strong Smoky Spice | Dry Red Chilli Whole,12,1,13,0.66%,0.19%,0.55%,18,1,19,0.66%,0.09%,0.49%,100.00%,3,23.08%,"₹1,410.00",3,11-05-2025
