"ID","SKU","Title","Rack Id","Quantity","Expiry Date","MRP","isFBA"
"172988","1000PRJ","1000ml Round Jar","M11","3128","07/21/2026","0.00",""
"173422","1000WBN","1000ML Water Bottle Nautilus","M11","3000","07/21/2026","0.00",""
"172199","100BP","100grms Brown Pouch","PM","500","-","2.00",""
"172895","100ccoxySorb","100cc OXY SORB","PM","2700","-","0.00",""
"172898","100SPJ","100ml Spice Bottle","PM","1052","-","0.00",""
"173014","101mmBPC","101mm blue plastic cap","M11","1500","07/24/2026","0.00",""
"173010","101mmRPC","101mm - Red Plastic Cap","PM","3190","-","0.00",""
"173002","101mmSTC","101mm - Silver See-thru Cap","PM","2600","-","0.00",""
"173015","101mmWPC","101mm white plastic cap","M11","1500","07/21/2026","0.00",""
"173585","1500PJBox290x140x235","3PLY Corrugated Boxes 29x 14x23.5 cm,pack of 2, 1500PRJ","M11","325","07/21/2026","4372.00",""
"172989","1500PRJ","1500ml Round Jar","M11","1500","07/21/2026","0.00",""
"172200","150BP","150grms Brown Pouch 150BP","PM","500","-","2.00",""
"173279","1GMSG","1GM Silica Gel","PM","9000","-","0.00",""
"173542","1MGBoppTape2in65m","1Mg Bopp Tape 2inches 65 mtrs","PM","8","-","480.00",""
"172894","20ccoxySorb","20cc OXY SORB","PM","6500","-","0.00",""
"172201","250BP","250grms Brown Pouch","PM","900","-","2.00",""
"172984","250PRJ","250ml Round Jar","PM","1339","-","1.00",""
"172638","300CJ","300 ML PGL CUBICLE JAR DB-48  Product Code - F3X0264QHTQ020001X","PM","336","-","2611.00",""
"172980","32FS","1000ML French Square","M11","17808","07/21/2026","0.00",""
"172202","350BP","350grms Brown Pouch","PM","400","-","2.00",""
"172899","42mmBPC","42mm Black Plastic cap","PM","2050","-","0.00",""
"173006","43mmBLC","43mm Black Lug","PM","860","-","0.00",""
"173007","43mmGLC","43mm Golden Lug","PM","2260","-","0.00",""
"174148","500BP","500 grams brown pouch","PM","500","-","2.00",""
"172639","500MB","500 ML ROUND MILK BOTTLE CEC-DB30  Product Code - Product Code - F3Y0047QHTQ020001X","M11","3750","07/21/2026","1.00",""
"171896","500PGL","500PGL SHINE EB-30 Product Code: F3Y0252ANBQ030003X","M11","39190","07/21/2026","0.00",""
"171896","500PGL","500PGL SHINE EB-30 Product Code: F3Y0252ANBQ030003X","N11","5010","03/31/2025","0.00",""
"172985","500PRJ","500ml Round Jar","M11","2520","07/21/2026","1.00",""
"172647","52mmGDC","52mm Glass Dome Cap for 85mm glass Jar","PM","2","-","0.00",""
"173001","53mmRHBBC","Biodegradable Cap","PM","1659","-","1.00",""
"164647","53mmSC","53MM SCREW CAP 1.2MM WAD Silver Cap","D99","500","03/31/2025","973.00",""
"164647","53mmSC","53MM SCREW CAP 1.2MM WAD Silver Cap","M11","28000","07/21/2026","973.00",""
"164647","53mmSC","53MM SCREW CAP 1.2MM WAD Silver Cap","PM","3290","-","973.00",""
"172998","600CJ","600ml Cubical Jar","M11","4800","07/21/2026","0.00",""
"172897","62mmWAD","62mm WAD","PM","670","-","0.00",""
"173003","63mmBAC","63mm - Black Cap","M11","3000","07/21/2026","0.00",""
"173013","63mmBLC","63mm Black Lug Cap","PM","860","-","0.00",""
"173008","63mmRPC","63mm - Red Plastic Cap","M11","1200","07/22/2026","0.00",""
"176720","63mmSC","63MM screw down Silver Cap","PM","1570","-","5758.00",""
"172198","70BP","70grms Brown Pouch","PM","400","-","0.00",""
"173012","70mmSMLC","70mm Silver Metal Lug Cap","PM","590","-","0.00",""
"172203","750BP","750grms Brown Pouch","PM","600","-","2.00",""
"172979","750PGL","750ml PGL WB","M11","35856","07/21/2026","1.00",""
"172987","750PRJ","750ml Round Jar","M11","2280","07/21/2026","1.00",""
"172997","800CJ","800ml Cubical Jar","M11","4800","07/21/2026","0.00",""
"173004","83mmBAC","83mm - Black Cap","PM","3290","-","1.00",""
"173009","83mmRPC","83mm - Red Plastic Cap","PM","1898","-","0.00",""
"172893","83mmSTC","83MM screw down See Through Cap","PM","960","-","6773.00",""
"173000","85RJD","85 Gram mini jar","M11","8000","07/21/2026","1.00",""
"174152","A05278","Burt's Bees Hand Salve - Mini - 0.3 oz","B23","2","02/28/2026","889.00",""
"174152","A05278","Burt's Bees Hand Salve - Mini - 0.3 oz","B24","7","01/31/2027","889.00",""
"174150","AM02765","Burt's Bees Tinted Lip Balm, Red Dhalia, 4.25 g","D63","63","02/28/2026","1243.00",""
"175354","AM02855","NYX PROFESSIONAL MAKEUP Conceal Correct Contour Palette 0.05 Oz 1.5 g","D62","1","04/30/2026","3109.00",""
"174151","AM04147","Burt's Bees Tinted Lip Balm Rose 0.15oz","B23","1","02/28/2026","2006.00",""
"174156","AM04669","Burt's Bees 100% Natural Moisturizing Tinted Lip Oil Whispering Orchid 1.18 ml","B23","1","12/31/2026","2619.00",""
"174156","AM04669","Burt's Bees 100% Natural Moisturizing Tinted Lip Oil Whispering Orchid 1.18 ml","B24","1","01/31/2026","2619.00",""
"174154","AM05168","Burt's Bees 100% Natural Moisturizing Lip Butter with Orange Blossom & Pistachio, 0.4oz / 11.3 g","B23","3","02/28/2026","1469.00",""
"174154","AM05168","Burt's Bees 100% Natural Moisturizing Lip Butter with Orange Blossom & Pistachio, 0.4oz / 11.3 g","B24","2","01/31/2026","1469.00",""
"170079","AM05270","Lego 60265 City Oceans Exploration Base Deep Sea Underwater Set, Diving Adventures Toys for Kids,497 Pieces,Multicolor","B24","1","06/30/2025","24405.00",""
"170935","AM05395","LOL Surprise Minis with 5+ Surprises - Fuzzy Tiny Animals, Collect to Build a Tiny House","B23","1","03/31/2026","10987.00",""
"171316","AM05454","Star Wars Ep1 Sly Moore 3 Sly Moore 4-Inch Figure","B24","1","01/31/2026","3000.00",""
"171637","AM05472","Perfectly Cute Magic Sippy Set","B24","1","12/31/2025","3517.00",""
"171218","AMB013G0J77M","Star Wars Episode 7 Pop! First Order Stormtrooper","B24","1","10/31/2025","9525.00",""
"171596","AMB07SS52JFK","400 Premium Ultra Clear, Perfect for Double sleeving, fits Standard Size Trading Cards Magic The Gathering, Pokemon, Dragon Ball Super by Pro Support","B23","1","12/31/2026","5340.00",""
"171397","AMB07VDQ9MQY","Fancy Buying 24V 2A Scooter Battery Charger for Golden Buzzaround Lite, Jazzy Power Chair,Pride Hoveround Mobility,Schwinn S300 S350 S400 S500 S650,Ezip 400 500 650 750 900 Mountain Trailz,Shoprider","B24","1","03/31/2026","6530.00",""
"170385","AMB07ZQVG2GN","NKOK 1: 18 Realtree 8Piece Jeep Wrangler Turkey Hunting Playset (Colors May Vary), Toy","B24","1","07/31/2025","9540.00",""
"168424","AMB084B4F1LZ","Minecraft Creeper Light Up Figure - Paladone Table Light with Zombie Sounds","B24","1","06/30/2025","7965.00",""
"172610","AZBoppTape2in65m","Bopp Tape-Amazon Prime=1 Box- (12X4=48) Size 72mm x 65mtr -42 Mic","PM","58","-","41.00",""
"173571","B0012","3 Ply Corrugated Box 345X230X160 pack of 6,600CJ","M11","1047","07/21/2026","4984.00",""
"173572","B0013","3 Ply Corrugated Box 330X220X190 pack of 6,800CJ","M11","1019","07/21/2026","7305.00",""
"173573","B0014","3 Ply Corrugated Box 360X240X230 pack of 6,1000CJ","M11","650","07/21/2026","7222.00",""
"173574","B0016","3 Ply Corrugated Box 270x180x150 pack of 6, 300CJ","M11","1207","07/21/2026","3764.00",""
"173575","B0017","3 Ply Corrugated Box (190X100X300) pack of 2,750 PGL","M11","8419","07/21/2026","2521.00",""
"173576","B0018","3 Ply Corrugated Box 28x14x13 cm pack of 6,85RJD","M11","989","07/21/2026","6847.00",""
"173577","B0019","3 Ply Corrugated Box (22cm x22 cm x 24 cm)","M11","790","07/21/2026","4720.00",""
"173578","B0020","3 Ply Corrugated Boxes Size 170X100X230,pack of 2 500PGL","M11","3887","07/21/2026","3143.00",""
"173579","B0021","3ply Corrugated Boxes 365 x 180 x 290 ,pack of 2,3000PRJ","M11","646","07/21/2026","7197.00",""
"173580","B0022","3 Ply Corrugated Boxes Size 240x120x150,pack of 2,500CJ","M11","455","07/21/2026","2917.00",""
"173581","B0023","3 Ply Corrugated Box Size (27x13.5x21),pack of 2,1400SJ","M11","355","07/21/2026","3834.00",""
"173582","B0024","3 Ply Corrugated Box Size (22x11x26) pack of 2,32WBFS","M11","320","07/21/2026","3859.00",""
"173583","B0025","3 Ply Corrugated Boxes 215x110x160,pack of 2,500PRJ","M11","521","07/21/2026","3241.00",""
"173584","B0026","3PLY Corrugated Boxes 245x120x195,pack of 2,750PRJ","M11","316","07/21/2026","3412.00",""
"173586","B0028","3PLY Corrugated Boxes 390x200x330,pack of 2,1500PRJ","M11","308","07/21/2026","10994.00",""
"173587","B0029","3PLY Corrugated Boxes Size 260x130x185,pack of 2,1000SJ","M11","915","07/21/2026","3784.00",""
"173588","B0030","3PLY Corrugated Boxes 220x90x110,pack of 2,250PRJ","M11","335","07/21/2026","3376.00",""
"173590","B0032","3 Ply Corrugated Box 26.5x13.5x25,pack of 2,1800SJ","M11","326","07/21/2026","3808.00",""
"173591","B0033","3PLY Corrugated Boxes 315x165x245,pack of 2,2000PRJ","M11","834","07/21/2026","7362.00",""
"173592","B0034","3 Ply Corrugated Box 32x16x26 , pack of 2, 2700SJ","M11","322","07/21/2026","6200.00",""
"173594","B0036","3 Ply Corrugated Box NC-08 (292X140X127 mm) amazon ISP0085RJ/PT0085RJ pack 6 and pack of 12","M11","1300","07/21/2026","2997.00",""
"173537","B0041","3 Ply Corrugated Box 39x27x9 AMWB","M11","504","07/21/2026","4546.00",""
"173538","B0042","3PLY Corrugated Boxes 30x20x80 AMWB","M11","508","07/21/2026","3013.00",""
"176751","Box6x4x3.5in","3 Ply Corrugated BOX Size (6x4x3.5) inches","PM","50","-","4.50",""
"173564","BoxB10","3 Ply Corrugated Box 180x100x160 B10,","M11","11328","07/21/2026","5.00",""
"173564","BoxB10","3 Ply Corrugated Box 180x100x160 B10,","N11","421","04/28/2026","5.00",""
"173562","BoxB11","3 Ply Corrugated Box 200x120x200 B11,pack of 2 500 PRJ","M11","3660","07/21/2026","9.00",""
"173561","BoxB12","3 Ply Corrugated Box (250x100x60) B12","M11","11488","07/21/2026","9.00",""
"173561","BoxB12","3 Ply Corrugated Box (250x100x60) B12","N11","413","04/28/2026","9.00",""
"173565","BoxB15","3 Ply Corrugated Box (130X130X140) B15","M11","4068","07/21/2026","8.00",""
"173566","BoxB19","3 Ply Corrugated Boxes size (250x120x80) B19","M11","8728","07/21/2026","9.00",""
"173567","BoxB20","3 Ply Corrugated Box 17x17x7 cm B20","M11","418","07/21/2026","9.00",""
"176714","BoxFBA440x320x300","3 Ply Corrugated BOX Size (44x32x30)","PM","45","-","0.00",""
"173563","BoxNC15","3 Ply Corrugated Box (180X100X100) Size B9","M11","157382","07/21/2026","5.00",""
"173563","BoxNC15","3 Ply Corrugated Box (180X100X100) Size B9","N11","3181","04/28/2026","5.00",""
"173563","BoxNC15","3 Ply Corrugated Box (180X100X100) Size B9","PM","550","-","5.00",""
"173593","BoxNordic160x80x80","3PLY Corrugated Boxes 160x80x80","PM","250","-","1484.00",""
"173539","CelloTape1in50m","Cellotape 1"" 50 mtrs x 24 mm","PM","132","-","579.00",""
"173540","CelloTape3in50m","Cellotape 3"" 50 mtrs","PM","40","-","477.00",""
"176697","ClingWrap12in","Cling Wrap Film 23 Micron 12inches","PM","4","-","2.00",""
"176700","CourierBag10X12","COURIER BAG L.D.P.E 10 X 12 (1x100)","PM","400","-","2.00",""
"176698","CourierBag8X10","COURIER BAG L.D.P.E 8 X 10 (1x100)","PM","300","-","2.00",""
"176699","CourierBag8X12","COURIER BAG L.D.P.E 8 X 12 (1x100)","PM","400","-","2.00",""
"172612","FLPBoppTape2in65m","Cellotape Flipkart Blue Bope Tape 2''","PM","22","-","461.00",""
"172613","FLPFragileTape2in65m","Flipkart Fragile - Prt BOPP MW Tape - 1/col-2""Inch","PM","9","-","440.00",""
"172611","FragileTape2in65m","Amazon-Fragile Handle SVT With Care Printed ETIP Cello Tape 40 Micron, 48 mm , 65 Meter, 2""","PM","22","-","580.00",""
"173390","GRDL","Glass Dome Lid for 85g mini jar","M11","9000","07/21/2026","0.00",""
"176747","InkEpson003-K","EPSON INK CARTRIDGE 003 (K) BLACK L3152","PM","1","-","1.00",""
"176683","InkEpsonSJIC23P-C","EPSON INK CARTRIDGE SJIC23P (C) CYAN TM-C3510","PM","2","-","1.00",""
"176685","InkEpsonSJIC23P-M","EPSON INK CARTRIDGE SJIC23P (M) MAGENTA TM-C3510","PM","1","-","5.00",""
"176686","InkEpsonSJIC23P-Y","EPSON INK CARTRIDGE SJIC23P (Y) YELLOW TM-C3510","PM","1","-","1.00",""
"176689","InkEpsonSJIC40P-K","SJIC40P-K:INK CART. FOR CW-C6050/C6550","PM","1","-","5.00",""
"176690","InkEpsonSJIC40P-M","SJIC40P-M:INK CART. FOR CW-C6050/C6550","PM","1","-","2.00",""
"176691","InkEpsonSJIC40P-Y","SJIC40P-Y:INK CART. FOR CW-C6050/C6550","PM","1","-","2.00",""
"162436","IS00667","Himalaya, Ashwagandha, 60 Caplets","D67","21","10/31/2025","5075.00",""
"162436","IS00667","Himalaya, Ashwagandha, 60 Caplets","D68","19","12/31/2025","5075.00",""
"162490","IS00720","Himalaya Herbal Healthcare Turmeric 95 -- 60 Vegetarian Capsules","D66","14","07/31/2025","5300.00",""
"162507","IS00736","Himalaya Herbal Healthcare Boswellia - 60 Vegetarian Capsules","D68","10","06/30/2025","3355.00",""
"162516","IS00745","Nordic Naturals Omega 3-690 mg, Lemon Flavor, 120 Soft Gels","B25","2","01/31/2028","5155.00",""
"162516","IS00745","Nordic Naturals Omega 3-690 mg, Lemon Flavor, 120 Soft Gels","BLR8","1","04/30/2025","5155.00","1"
"162516","IS00745","Nordic Naturals Omega 3-690 mg, Lemon Flavor, 120 Soft Gels","DED4","1","04/30/2025","5155.00","1"
"162516","IS00745","Nordic Naturals Omega 3-690 mg, Lemon Flavor, 120 Soft Gels","DEL5","1","04/30/2026","5155.00","1"
"162516","IS00745","Nordic Naturals Omega 3-690 mg, Lemon Flavor, 120 Soft Gels","GAX1","1","04/30/2026","5155.00","1"
"162516","IS00745","Nordic Naturals Omega 3-690 mg, Lemon Flavor, 120 Soft Gels","PNQ3","1","04/30/2025","5155.00","1"
"162636","IS00864","Nordic Naturals Ultimate Omega 3-1280 mg, Lemon Flavour, 60 Soft gels","B37","59","02/29/2028","4600.00",""
"162636","IS00864","Nordic Naturals Ultimate Omega 3-1280 mg, Lemon Flavour, 60 Soft gels","BLR8","17","05/31/2026","4600.00","1"
"162636","IS00864","Nordic Naturals Ultimate Omega 3-1280 mg, Lemon Flavour, 60 Soft gels","BOM5","19","05/31/2026","4600.00","1"
"162636","IS00864","Nordic Naturals Ultimate Omega 3-1280 mg, Lemon Flavour, 60 Soft gels","BOM7","9","05/31/2026","4600.00","1"
"162636","IS00864","Nordic Naturals Ultimate Omega 3-1280 mg, Lemon Flavour, 60 Soft gels","HYD8","38","05/31/2026","4600.00","1"
"162636","IS00864","Nordic Naturals Ultimate Omega 3-1280 mg, Lemon Flavour, 60 Soft gels","PNQ3","8","05/31/2026","4600.00","1"
"162636","IS00864","Nordic Naturals Ultimate Omega 3-1280 mg, Lemon Flavour, 60 Soft gels","R12","1","02/29/2028","4600.00",""
"162636","IS00864","Nordic Naturals Ultimate Omega 3-1280 mg, Lemon Flavour, 60 Soft gels","WT","125","05/31/2026","4600.00","1"
"162737","IS00957","Healthy Origins, Setria, L-Glutathione Reduced, 250 mg, 150 Capsules","B44","1","03/31/2026","6864.00",""
"162782","IS01005","Nordic Naturals Ultimate Omega, 1280mg Omega-3, For Heart, Brain & Immune Health, Lemon Flavor, Non-GMO, 120 Soft Gels","B25","11","02/29/2028","8110.00",""
